Individual_ID;ORBIT;SKULL;NECK;TRUNK_LENGTH;TAIL;HUMERUS;RADIUS;METACARPAL_4;WING_PHALANX_1;WING_PHALANX_2;WING_PHALANX_3;WING_PHALANX_4;FEMUR;TIBIA
98;;;;;;;;;;;;;;
99;;;;;237;;56;18;89.5;82.3;74.8;76.7;;42
100;;;;;;;;;;93;;;;
101;;;;;;39;63.5;;99;96.5;;;;
102;;;;;357;;;;;;;;;
103;;;;;;;;;;;;;32.5;46.2
104;;;;;;45.5;70;;;;;;;
105;;;;;;38;63;19;105;105.5;90.5;84;;
106;;;;;;40;63.5;23;102;100;;;;
107;;;;;;;65;;105;;;;;
108;;;;;;35.5;58.5;21.5;95;92.7;85.3;82;;
109;;;;;;;;;;;;;;
110;;63.3;;;;31.9;58.2;21.8;92.3;91;83.6;;28.1;40.5
111;;85.5;;;;41.6;56.9;;85.3;84.6;74.2;55.5;;
112;;101.6;;;;38.3;65;22.2;174.4;;;;31.7;40.5
113;;66;40;;192;25;40;20;57;51;47;53;18;26
114;;101.5;64.7;;287;;66.2;25;100.5;102.4;93.9;93;31.5;43.9
115;;94.7;68.8;;;24.7;58.8;24.1;99.4;91.2;;;27.1;42.9
116;;49.8;33.2;;;19.4;33.2;13.3;47.8;46;40.4;41.5;;18.3
117;22;101;55;;253;34;59;19.4;98.8;92.2;82.6;75.9;30;
118;18;91;53;;259;33;62;19;96;98;93;94;26;38
119;;85.9;86.9;;;40.9;86.9;24.5;118.6;87.9;70.5;;;
120;;;;;;52.3;76.6;31.5;125.2;101.8;82;84.7;39.6;55
121;;;;;;;;;;;;;;
122;;68.9;;;187.7;32.8;62.3;19.7;91.8;93.4;77.9;73.8;28.7;37.7
123;;;;;263;;;;;;;;;
124;;94;86;;;;;;;;;;;48
125;;40;;;92;;41;15;;;;;13;21
126;;96;;;;;;;;;;;;
127;;;;;;;;;;;;;;
128;;35;30;;119;17;27;12;35;33;29;29;;
129;;;;;101;;26;12;34;;27;32;;
130;;102;53;;;38;62;25;;97;;;31;
131;;;;;;32.7;;;94.3;90.6;81.4;80.8;30;42.1
132;;91;;;258;34;57;;84;80;68;51;;
133;;;;;82;15;25;9;29;26;24;29;12;15
134;;21;22;;77;15;25;11;31;27;25;30;16;15
135;16;95;56;;291;38;63;24;95;92;84;94;;44
136;22;120;56;;350;39;76;23;119;109;98;93;;61
137;19;113;;;325;;70;;;129;127;113;;57
138;21;105.8;72;;;;;;;;;;32.5;
